,fool_rating,fool_url
151,4,https://www.fool.com/quote/GOOG
152,5,https://www.fool.com/quote/GOOGL
153,None,https://www.fool.com/quote/SMCP
154,0,https://www.fool.com/quote/ATEC
155,0,https://www.fool.com/quote/ALPN
156,None,https://www.fool.com/quote/AMR
157,None,https://www.fool.com/quote/AMRWW
158,None,https://www.fool.com/quote/AABA
159,None,https://www.fool.com/quote/ALTR
160,None,https://www.fool.com/quote/ATHE
161,2,https://www.fool.com/quote/ALT
162,0,https://www.fool.com/quote/ASPS
163,0,https://www.fool.com/quote/AIMC
164,0,https://www.fool.com/quote/ALTM
165,1,https://www.fool.com/quote/AMAG
166,None,https://www.fool.com/quote/AMAL
167,4,https://www.fool.com/quote/AMRN
168,None,https://www.fool.com/quote/AMRK
169,4,https://www.fool.com/quote/AMZN
170,None,https://www.fool.com/quote/AMBC
171,None,https://www.fool.com/quote/AMBCW
172,5,https://www.fool.com/quote/AMBA
173,3,https://www.fool.com/quote/AMCX
174,None,https://www.fool.com/quote/AMCI
175,None,https://www.fool.com/quote/AMCIU
176,None,https://www.fool.com/quote/AMCIW
177,0,https://www.fool.com/quote/DOX
178,3,https://www.fool.com/quote/AMED
179,None,https://www.fool.com/quote/AMTB
180,None,https://www.fool.com/quote/AMTBB
181,5,https://www.fool.com/quote/UHAL
182,None,https://www.fool.com/quote/AMRH
183,None,https://www.fool.com/quote/AMRHW
184,0,https://www.fool.com/quote/ATAX
185,None,https://www.fool.com/quote/AMOV
186,2,https://www.fool.com/quote/AAL
187,0,https://www.fool.com/quote/AETI
188,None,https://www.fool.com/quote/AFIN
189,None,https://www.fool.com/quote/AFINP
190,0,https://www.fool.com/quote/AMNB
191,0,https://www.fool.com/quote/ANAT
192,4,https://www.fool.com/quote/AOBC
193,0,https://www.fool.com/quote/APEI
194,None,https://www.fool.com/quote/AREC
195,0,https://www.fool.com/quote/AMRB
196,0,https://www.fool.com/quote/AMSWA
197,2,https://www.fool.com/quote/AMSC
198,0,https://www.fool.com/quote/AMWD
199,0,https://www.fool.com/quote/CRMT
200,3,https://www.fool.com/quote/ABCB
201,0,https://www.fool.com/quote/AMSF
202,0,https://www.fool.com/quote/ASRV
203,0,https://www.fool.com/quote/ASRVP
204,0,https://www.fool.com/quote/ATLO
205,4,https://www.fool.com/quote/AMGN
